Date,Open,High,Low,Close,Adj Close,Volume
2020-12-08,337.890015,340.700012,337.850006,340.160004,335.343292,1948200
2020-12-09,340.790009,340.929993,336.260010,337.140015,332.366058,2545800
2020-12-10,335.739990,338.000000,334.839996,336.980011,332.208344,2738600
2020-12-11,335.309998,336.799988,333.769989,336.549988,331.784393,2387900
2020-12-14,338.760010,339.790009,334.890015,335.010010,330.266235,2654600
2020-12-15,337.640015,339.640015,336.239990,339.640015,334.830688,2757400
2020-12-16,339.829987,341.040009,338.959991,340.160004,335.343292,2943200
2020-12-17,341.769989,342.250000,340.959991,342.010010,337.167114,2627000
2020-12-18,342.390015,342.500000,338.700012,340.640015,335.816498,6025700
2020-12-21,336.829987,340.380005,334.109985,339.589996,334.781342,3918100
2020-12-22,338.470001,338.549988,336.470001,337.540009,334.121124,2371900
2020-12-23,338.540009,339.750000,337.690002,337.809998,334.388397,3682200
2020-12-24,338.369995,339.179993,337.769989,339.160004,335.724701,1447500
2020-12-28,341.739990,342.459991,341.089996,342.109985,338.644806,2798800
2020-12-29,343.630005,343.769989,340.869995,341.390015,337.932159,2555500
2020-12-30,342.279999,342.910004,341.570007,341.850006,338.387451,2009100
2020-12-31,341.820007,344.369995,341.230011,343.690002,340.208832,3507000
2021-01-04,345.019989,345.089996,335.369995,339.029999,335.596008,5402600
2021-01-05,338.399994,342.390015,338.390015,341.260010,337.803467,3299700
2021-01-06,339.790009,346.500000,339.299988,343.329987,339.852448,4805000
2021-01-07,345.739990,349.200012,345.540009,348.459991,344.930511,3638900
2021-01-08,349.880005,350.619995,346.640015,350.420013,346.870667,3758500
2021-01-11,347.359985,349.820007,347.200012,348.130005,344.603851,2975000
2021-01-12,348.299988,349.149994,345.970001,348.160004,344.633545,2298400
2021-01-13,348.109985,350.059998,347.320007,349.029999,345.494720,3039900
2021-01-14,349.850006,350.320007,347.549988,347.850006,344.326721,3497400
2021-01-15,346.269989,347.059998,343.529999,345.369995,341.871796,3622100
2021-01-19,347.799988,348.589996,346.359985,348.100006,344.574188,3433800
2021-01-20,350.320007,353.709991,349.970001,352.829987,349.256226,2920600
2021-01-21,353.459991,353.839996,352.299988,353.160004,349.582916,2580800
2021-01-22,351.380005,353.040009,350.989990,351.899994,348.335663,1812200
2021-01-25,352.709991,353.679993,347.970001,353.329987,349.751190,3549000
2021-01-26,354.230011,354.649994,352.600006,352.799988,349.226501,2430200
2021-01-27,349.540009,349.559998,341.989990,344.239990,340.753235,5010400
2021-01-28,345.970001,351.070007,345.579987,347.130005,343.613983,3432200
2021-01-29,345.309998,346.220001,338.570007,340.179993,336.734375,5803600
2021-02-01,343.630005,346.850006,341.399994,345.769989,342.267731,3334000
2021-02-02,349.049988,352.339996,349.000000,350.739990,347.187408,2955200
2021-02-03,351.700012,352.799988,349.880005,351.089996,347.533905,3392800
2021-02-04,352.119995,355.040009,351.920013,355.019989,351.424072,1988300
2021-02-05,356.899994,357.130005,355.320007,356.440002,352.829712,2091800
2021-02-08,357.920013,359.070007,357.059998,359.070007,355.433075,3371100
2021-02-09,358.220001,359.329987,357.769989,358.779999,355.145996,1891200
2021-02-10,360.529999,360.609985,356.299988,358.640015,355.007416,2400000
2021-02-11,359.709991,360.100006,356.839996,359.220001,355.581543,2237200
2021-02-12,358.450012,361.190002,358.359985,361.049988,357.393005,2144500
2021-02-16,362.149994,362.369995,359.980011,360.709991,357.056427,4408500
2021-02-17,359.029999,360.970001,357.920013,360.790009,357.135651,3211800
2021-02-18,358.239990,359.929993,356.489990,359.250000,355.611237,3010500
2021-02-19,360.470001,360.709991,358.140015,358.589996,354.957886,2487100
2021-02-22,355.839996,358.190002,355.559998,355.769989,352.166473,3291000
2021-02-23,353.690002,357.559998,349.529999,356.220001,352.611908,5251100
2021-02-24,355.149994,360.579987,354.200012,360.160004,356.512024,3301200
2021-02-25,359.029999,360.269989,350.079987,351.519989,347.959503,7049200
2021-02-26,353.470001,354.470001,347.709991,349.589996,346.049072,7579500
2021-03-01,354.549988,359.390015,354.500000,358.119995,354.492676,3721100
2021-03-02,358.380005,358.630005,355.160004,355.350006,351.750732,5462600
2021-03-03,354.700012,355.640015,350.559998,350.660004,347.108246,6317600
2021-03-04,350.489990,353.019989,341.920013,346.339996,342.831970,6604500
2021-03-05,349.769989,353.730011,342.589996,352.690002,349.117676,8721300
2021-03-08,353.630005,356.399994,350.660004,350.959991,347.405212,5663500
2021-03-09,354.750000,358.459991,354.230011,355.869995,352.265472,6075100
2021-03-10,358.299988,359.839996,356.880005,358.070007,354.443207,7231400
2021-03-11,360.660004,363.760010,360.160004,361.850006,358.184906,3340700
2021-03-12,360.500000,362.450012,359.670013,362.359985,358.689697,4847300
2021-03-15,362.670013,364.750000,360.450012,364.459991,360.768433,3154800
2021-03-16,365.119995,365.779999,363.250000,364.049988,360.362579,3698400
2021-03-17,362.829987,366.049988,361.619995,365.239990,361.540558,5011600
2021-03-18,362.730011,364.760010,359.279999,359.869995,356.224945,5067500
2021-03-19,359.649994,361.170013,357.140015,359.230011,355.591461,5382800
2021-03-22,359.790009,363.500000,359.760010,362.070007,358.402679,3417600
2021-03-23,361.529999,362.940002,358.510010,359.410004,355.769592,4954600
2021-03-24,360.709991,362.269989,357.420013,357.420013,353.799774,4099000
2021-03-25,356.079987,360.239990,354.140015,359.429993,355.789398,5487300
2021-03-26,359.369995,364.369995,358.750000,364.010010,361.593628,3322600
2021-03-29,362.570007,364.679993,361.109985,363.790009,361.375061,3143300
2021-03-30,362.559998,363.470001,361.269989,362.859985,360.451233,3696200
2021-03-31,363.390015,365.820007,363.390015,364.299988,361.881683,7470300
2021-04-01,366.200012,368.290009,366.029999,368.160004,365.716064,5132000
2021-04-05,370.890015,374.070007,370.809998,373.470001,370.990784,3764100
2021-04-06,373.040009,374.329987,372.670013,373.260010,370.782227,3583500
2021-04-07,373.140015,374.079987,372.720001,373.730011,371.249115,2768900
